"Device: E-TC"
"Serial Number: 20ABC75"
"Channel Count: 3"
"Sample Count: 30582"
"Start Time: 1/9/2023 12:19:43.95 PM"
"Scan Rate: 100"
"Sample","Date/Time","AI0 (°C)","AI1 (°C)","AI2 (°C)"
"104","1/9/2023 12:19:45.00 PM","11.209611893","417.733398438","23.170881271"
"105","1/9/2023 12:19:45.01 PM","11.209611893","417.733398438","23.170881271"
"106","1/9/2023 12:19:45.02 PM","11.209611893","417.733398438","23.170881271"
"107","1/9/2023 12:19:45.03 PM","11.209611893","417.733398438","23.170881271"
"108","1/9/2023 12:19:45.04 PM","11.209611893","417.733398438","23.170881271"
"109","1/9/2023 12:19:45.05 PM","11.209611893","416.768035889","23.170881271"
"110","1/9/2023 12:19:45.06 PM","11.209611893","416.768035889","23.170881271"
"111","1/9/2023 12:19:45.07 PM","11.209611893","416.768035889","23.170881271"
"112","1/9/2023 12:19:45.08 PM","11.209611893","416.768035889","23.170881271"
"113","1/9/2023 12:19:45.09 PM","11.209611893","416.768035889","23.170881271"
"114","1/9/2023 12:19:45.10 PM","11.209611893","416.768035889","23.128496170"
"115","1/9/2023 12:19:45.11 PM","11.209611893","416.768035889","23.128496170"
"116","1/9/2023 12:19:45.12 PM","11.209611893","416.768035889","23.128496170"
"117","1/9/2023 12:19:45.13 PM","11.209611893","416.768035889","23.128496170"
"118","1/9/2023 12:19:45.14 PM","11.209611893","416.768035889","23.128496170"
"119","1/9/2023 12:19:45.15 PM","11.209611893","416.768035889","23.128496170"
"120","1/9/2023 12:19:45.16 PM","11.209611893","416.768035889","23.128496170"
"121","1/9/2023 12:19:45.17 PM","11.209611893","416.768035889","23.128496170"
"122","1/9/2023 12:19:45.18 PM","11.209611893","416.768035889","23.128496170"
"123","1/9/2023 12:19:45.19 PM","11.209611893","416.768035889","23.128496170"
"124","1/9/2023 12:19:45.20 PM","11.209611893","416.768035889","23.128496170"
"125","1/9/2023 12:19:45.21 PM","11.209611893","416.768035889","23.128496170"
"126","1/9/2023 12:19:45.22 PM","11.209611893","416.768035889","23.128496170"
"127","1/9/2023 12:19:45.23 PM","11.209611893","416.768035889","23.128496170"
"128","1/9/2023 12:19:45.24 PM","11.209611893","416.768035889","23.128496170"
"129","1/9/2023 12:19:45.25 PM","11.209611893","416.768035889","23.128496170"
"130","1/9/2023 12:19:45.26 PM","11.213193893","416.768035889","23.128496170"
"131","1/9/2023 12:19:45.27 PM","11.213193893","416.768035889","23.128496170"
"132","1/9/2023 12:19:45.28 PM","11.213193893","416.768035889","23.128496170"
"133","1/9/2023 12:19:45.29 PM","11.213193893","416.768035889","23.128496170"
"134","1/9/2023 12:19:45.30 PM","11.213193893","416.768035889","23.128496170"
"135","1/9/2023 12:19:45.31 PM","11.213193893","416.768035889","23.128496170"
"136","1/9/2023 12:19:45.32 PM","11.213193893","415.832977295","23.128496170"
"137","1/9/2023 12:19:45.33 PM","11.213193893","415.832977295","23.128496170"
"138","1/9/2023 12:19:45.34 PM","11.213193893","415.832977295","23.128496170"
"139","1/9/2023 12:19:45.35 PM","11.213193893","415.832977295","23.128496170"
"140","1/9/2023 12:19:45.36 PM","11.213193893","415.832977295","23.128496170"
"141","1/9/2023 12:19:45.37 PM","11.213193893","415.832977295","23.087718964"
"142","1/9/2023 12:19:45.38 PM","11.213193893","415.832977295","23.087718964"
"143","1/9/2023 12:19:45.39 PM","11.213193893","415.832977295","23.087718964"
"144","1/9/2023 12:19:45.40 PM","11.213193893","415.832977295","23.087718964"
"145","1/9/2023 12:19:45.41 PM","11.213193893","415.832977295","23.087718964"
"146","1/9/2023 12:19:45.42 PM","11.213193893","415.832977295","23.087718964"
